Unique City,No. of Charge Stations
"LOWELL, NC",1
"LOWVILLE, NY",1
"LUBBOCK, TX",7
"LUBEC, ME",1
"LUCERNE VALLEY, CA",1
"LUDINGTON, MI",2
"LUDLOW, MA",1
"LUDLOW, VT",2
"LUFKIN, TX",1
"LUMBERTON, NC",3
"LUMBERTON, TX",1
"LURAY, VA",3
"LUSBY, MD",1
"LUSK, WY",1
"LUTHERVILLE TIMONIUM, MD",1
"LUTHERVILLE-TIMONIUM, MD",1
"LUTSEN, MN",3
"LUTZ, FL",5
"LYME, CT",1
"LYME, NH",1
"LYNCHBURG, VA",9
"LYNDHURST, NJ",1
"LYNN, MA",1
"LYNNFIELD, MA",5
"LYNNWOOD, WA",20
"LYNWOOD, CA",5
"LYONS FALLS, NY",1
"LYONS, CO",2
"MABLETON, GA",1
"MACEDONIA, OH",1
"MACHESNEY PARK, IL",1
"MACHIAS, ME",1
"MACKINAW CITY, MI",2
"MACOMB, IL",2
"MACON, GA",13
"MACUNGIE, PA",1
"MADERA, CA",10
"MADISON HEIGHTS, MI",3
"MADISON, AL",2
"MADISON, CT",7
"MADISON, GA",1
"MADISON, IN",1
"MADISON, NC",1
"MADISON, NJ",5
"MADISON, OH",1
"MADISON, TN",3
"MADISON, VA",1
"MADISON, WI",63
"MADISONVILLE, TX",1
"MADRAS, OR",5
"MAGGIE VALLEY, NC",1
"MAGNA, UT",1
"MAGNOLIA, TX",1
"MAHOPAC, NY",1
"MAHWAH, NJ",1
"MAINEVILLE, OH",1
"MAITLAND, FL",5
"MAKANDA, IL",2
"MAKAWAO, HI",1
"MALIBU, CA",16
"MALONE, NY",5
"MALTA, NY",2
"MALVERN, PA",9
"MAMARONECK, NY",3
"MAMMOTH HOT SPRINGS, WY",2
"MAMMOTH LAKES, CA",5
"MANAHAWKIN, NJ",3
"MANAKIN SABOT, VA",1
"MANALAPAN, FL",1
"MANASQUAN, NJ",1
"MANASSAS, VA",8
"MANCHESTER CENTER, VT",3
"MANCHESTER, CT",7
"MANCHESTER, IA",2
"MANCHESTER, ME",1
"MANCHESTER, NH",6
"MANCHESTER, TN",3
"MANCHESTER, VT",4
"MANCHESTER-BY-THE-SEA, MA",1
"MANCOS, CO",1
"MANDEVILLE, LA",2
"MANHATTAN BEACH, CA",22
"MANHATTAN, KS",6
"MANHATTAN, NY",17
"MANITOU SPRINGS, CO",2
"MANITOWOC, WI",1
"MANKATO, MN",9
"MANNFORD, OK",1
"MANOR, TX",1
"MANORVILLE, NY",1
"MANSFIELD, CT",2
"MANSFIELD, MA",3
"MANSFIELD, OH",2
"MANSFIELD, TX",1
"MANSON, WA",3
"MANTECA, CA",5
"MANTEO, NC",1
"MANVEL, TX",1
"MAPLE GROVE, MN",6
"MAPLE SHADE, NJ",1
"MAPLE VALLEY, WA",1
"MAPLEWOOD, MN",15
"MAPLEWOOD, MO",2
"MAPLEWOOD, NJ",1
"MAQUOKETA, IA",3
"MARANA, AZ",2
"MARATHON, FL",3
"MARBLE CANYON, AZ",1
"MARBLE FALLS, TX",1
"MARBLEHEAD, MA",2
"MARCELLUS, NY",1
"MARCO ISLAND, FL",6
"MARFA, TX",1
"MARGARETVILLE, NY",1
"MARIANNA, FL",1
"MARICOPA, AZ",1
"MARIETTA, GA",25
"MARIETTA, OH",2
"MARIN CITY, CA",1
"MARINA DEL REY, CA",18
"MARINA, CA",5
"MARION, AR",1
"MARION, KY",1
"MARION, NC",2
"MARION, OH",2
"MARION, TX",1
"MARION, VA",1
"MARIPOSA, CA",1
"MARKED TREE, AR",1
"MARKLEEVILLE, CA",1
"MARKSVILLE, LA",1
"MARLBORO, VT",1
"MARLBOROUGH, MA",12
"MARLTON, NJ",1
"MARSHALL, MI",6
"MARSHALL, MN",1
"MARSHALL, TX",1
"MARSHALL, VA",1
"MARSHALL, WI",1
"MARSHALLTOWN, IA",1
"MARSHFIELD, MA",1
"MARSHFIELD, WI",2
"MARTIN, TN",1
"MARTINEZ, CA",9
"MARTINSBURG, WV",3
"MARTINSVILLE, IN",1
"MARY ESTHER, FL",1
"MARYLAND CITY, MD",1
"MARYLAND HEIGHTS, MO",2
"MARYSVILLE, CA",3
"MARYSVILLE, OH",2
"MARYSVILLE, WA",4
"MARYVILLE, MO",3
"MARYVILLE, TN",3
"MASHANTUCKET, CT",2
"MASHPEE, MA",2
"MASON CITY, IA",1
"MASON, OH",2
"MASPETH, NY",2
"MASSENA, NY",2
"MASSILLON, OH",2
"MATAMORAS, PA",2
"MATTAPAN, MA",1
"MATTAWAN, MI",1
"MATTESON, IL",1
"MATTHEWS, NC",3
"MATTOON, IL",3
"MAUMEE, OH",5
"MAUSTON, WI",1
"MAYER, AZ",1
"MAYFIELD HEIGHTS, OH",2
"MAYFIELD, KY",1
"MAYNARD, MA",1
"MAYVILLE, WI",1
"MAZAMA, WA",1
"MCALESTER, OK",4
"MCALLEN, TX",7
"MCARTHUR, CA",1
"MCCARRAN, NV",2
"MCCLEAN, VA",1
"MCCLELLAN PARK, CA",6
"MCCOMB, MS",1
"MCCORDSVILLE, IN",3
"MCDERMITT, NV",1
"MCDONOUGH, GA",6
"MCFARLAND, WI",1
"MCGAHEYSVILLE, VA",1
"MCGREGOR, TX",1
"MCHENRY, IL",2
"MCHENRY, MD",5
"MCKENZIE BRIDGE, OR",1
"MCKINLEYVILLE, CA",1
"MCKINNEY, TX",9
"MCLEAN, VA",18
"MCLEANSVILLE, NC",1
"MCMINNVILLE, OR",7
"MCMINNVILLE, TN",2
"MEAD, WA",1
"MEADOWS OF DAN, VA",1
"MEADVILLE, PA",1
"MEBANE, NC",3
"MECHANICSBURG, PA",7
"MECHANICSVILLE, VA",1
"MEDFORD, MA",9
"MEDFORD, NY",2
"MEDFORD, OR",12
"MEDIA, PA",2
"MEDICAL LAKE, WA",1
"MEDINA, OH",5
"MEDWAY, MA",3
"MEDWAY, ME",1
"MEEKER, CO",2
"MELBOURNE BEACH, FL",3
"MELBOURNE, FL",11
"MELROSE PARK, IL",2
"MELROSE, MA",3
"MELVILLE, NY",2
"MEMPHIS, TN",24
"MENANDS, NY",1
"MENASHA, WI",3
"MENDOCINO, CA",8
"MENDOTA, CA",4
"MENIFEE, CA",5
"MENLO PARK, CA",62
"MENOMONEE FALLS, WI",1
"MENOMONIE, WI",2
"MENTOR, OH",6
"MEQUON, WI",4
"MERCED, CA",7
"MERCER ISLAND, WA",14
"MERCER, PA",2
"MERCERSBURG, PA",2
"MEREDITH, NH",1
"MERIDEN, CT",6
"MERIDIAN, ID",6
"MERIDIAN, MS",4
"MERRIAM, KS",4
"MERRILL, WI",1
"MERRILLVILLE, IN",4
"MESA VERDE NATIONAL PARK, CO",1
"MESA, AZ",21
"MESA, CO",1
"MESQUITE, NV",3
"MESQUITE, TX",7
"METAIRIE, LA",9
"METHUEN, MA",2
"METROPOLITAN GOVERNMENT, TN",1
"METTER, GA",2
"METUCHEN, NJ",2
"MIAMI BEACH, FL",28
"MIAMI LAKES, FL",1
"MIAMI SPRINGS, FL",1
"MIAMI, FL",147
"MIAMI, OK",2
"MICHIGAN CITY, IN",2
"MID-CAMBRIDGE, MA",1
"MIDDLE RIVER, MD",3
"MIDDLEBURG HEIGHTS, OH",2
"MIDDLEBURG, FL",1
"MIDDLEBURG, VA",2
"MIDDLEBURY, CT",1
"MIDDLEBURY, IN",1
"MIDDLEBURY, VT",10
"MIDDLESEX, VT",2
"MIDDLETON, WI",5
"MIDDLETOWN, CA",1
"MIDDLETOWN, CT",10
"MIDDLETOWN, DE",1
"MIDDLETOWN, MD",1
"MIDDLETOWN, NY",4
"MIDDLETOWN, PA",3
"MIDDLETOWN, RI",5
"MIDDLEVILLE, MI",1
"MIDLAND, TX",4
"MIDLOTHIAN, IL",1
"MIDLOTHIAN, VA",7
"MIDPINES, CA",1
"MIDVALE, UT",1
"MIDWAY, KY",1
"MIDWEST CITY, OK",5
"MILAN, OH",2
"MILES CITY, MT",1
"MILFORD CHARTER TOWNSHIP, MI",1
"MILFORD, CT",10
"MILFORD, DE",1
"MILFORD, MA",2
"MILFORD, OH",2
"MILFORD, PA",1
"MILL CITY, OR",1
"MILL VALLEY, CA",6
"MILLBRAE, CA",9
"MILLBROOK, NY",1
"MILLBURN, NJ",1
"MILLBURY, MA",2
"MILLEDGEVILLE, GA",3
"MILLERSBURG, MI",1
"MILLERSBURG, OH",2
"MILLERSVILLE, MD",1
"MILLERSVILLE, PA",1
"MILLINOCKET, ME",1
"MILLPORT, NY",1
"MILLS RIVER, NC",1
"MILLSBORO, DE",1
"MILPITAS, CA",25
"MILTON, DE",1
"MILTON, MA",1
"MILTON, NY",1
"MILTON, WI",1
"MILW, WI",2
"MILWAUKEE, WI",34
"MILWAUKIE, OR",5
"MINDEN, NE",1
"MINDEN, NV",4
"MINER, MO",1
"MINERAL WELLS, WV",1
"MINNEAPOLIS, MN",61
"MINNETONKA, MN",3
"MINOOKA, IL",1
"MINOT, ND",3
"MIRAMAR BEACH, FL",4
"MIRAMAR, FL",4
"MISHAWAKA, IN",6
"MISSION HILLS, CA",5
"MISSION VIEJO, CA",7
"MISSION WOODS, KS",2
"MISSION, KS",7
"MISSOULA, MT",7
"MITCHELL, IN",1
"MITCHELL, OR",2
"MITCHELL, SD",1
"MOAB, UT",9
"MOAPA, NV",1
"MOBERLY, MO",2
"MOBILE, AL",24
"MOCLIPS, WA",2
"MODENA, NY",2
"MODESTO, CA",11
"MOFFETT FIELD, CA",1
"MOHEGAN LAKE, NY",1
"MOJAVE, CA",5
"MOKENA, IL",1
"MOLALLA, OR",1
"MOLINE, IL",2
"MONAHANS, TX",1
"MONARCH, CO",1
"MONCURE, NC",1
"MONGTOMERY, AL",1
"MONKEY ISLAND, OK",1
"MONMOUTH JUNCTION, NJ",1
"MONMOUTH, IL",1
"MONMOUTH, OR",1
"MONON, IN",1
"MONONA, WI",2
"MONROE TOWNSHIP, NJ",1
"MONROE, GA",1
"MONROE, LA",3
"MONROE, MI",3
"MONROE, NC",2
"MONROE, OH",2
"MONROE, WA",3
"MONROEVILLE, PA",6
"MONROVIA, CA",5
"MONROVIA, MD",2
"MONSEY, NY",1
"MONTAGUE, MA",3
"MONTAUK, NY",9
"MONTCLAIR, CA",4
"MONTCLAIR, NJ",12
"MONTCLAIR, VA",1
"MONTE SERENO, CA",1
"MONTE VISTA, CO",1
"MONTEBELLO, CA",13
"MONTEBELLO, NY",1
"MONTECITO, CA",4
"MONTEREY PARK, CA",4
"MONTEREY, CA",23
"MONTEVIDEO, MN",1
"MONTGOMERY CENTER, VT",1
"MONTGOMERY, AL",9
"MONTGOMERY, IL",1
"MONTGOMERY, NJ",1
"MONTGOMERY, NY",1
"MONTGOMERY, TX",2
"MONTGOMERYVILLE, PA",1
"MONTICELLO, FL",4
"MONTICELLO, IL",1
"MONTICELLO, IN",1
"MONTICELLO, KY",1
"MONTICELLO, MN",2
"MONTICELLO, NY",4
"MONTICELLO, UT",1
"MONTOUR FALLS, NY",2
"MONTPELIER STATION, VA",3
"MONTPELIER, VT",12
"MONTREAT, NC",1
"MONTROSE, CO",6
"MONTVALE, NJ",1
"MONTVILLE, NJ",1
"MONUMENT, CO",1
"MOON TOWNSHIP, PA",3
"MOON, PA",1
"MOORE, OK",4
"MOOREFIELD, WV",3
"MOORESVILLE, NC",5
"MOORHEAD, MN",1
"MOORPARK, CA",4
"MOOSE LAKE, MN",2
"MOOSE, WY",1
"MOOSIC, PA",2
"MORA, MN",1
"MORAGA, CA",3
"MORAVIA, IA",1
"MOREHEAD, KY",2
"MORENO VALLEY, CA",14
"MORENO, CA",1
"MORGAN HILL, CA",10
"MORGANTOWN, WV",6
"MORRIS PLAINS, NJ",1
"MORRIS, CT",1
"MORRIS, MN",3
"MORRISON, CO",2
"MORRISON, TN",1
"MORRISTOWN, NJ",1
"MORRISTOWN, TN",1
"MORRISTOWN, VT",1
"MORRISVILLE, NC",2
"MORRISVILLE, NY",1
"MORRO BAY, CA",2
"MORROW, GA",5
"MORTON, MN",2
"MOSCA, CO",1
"MOSCOW, ID",1
"MOSES LAKE, WA",5
"MOSIER, OR",1
"MOSS BEACH, CA",1
"MOSSYROCK, WA",1
"MOTLEY, MN",1
"MOUNT AIRY, MD",2
"MOUNT DORA, FL",1
"MOUNT HOLLY, NC",1
"MOUNT HOLLY, NJ",1
"MOUNT JULIET, TN",1
"MOUNT KISCO, NY",1
"MOUNT LAUREL, NJ",3
"MOUNT PLEASANT, IA",3
"MOUNT PLEASANT, MI",3
"MOUNT PLEASANT, SC",4
"MOUNT PLEASANT, WI",1
"MOUNT PROSPECT, IL",2
"MOUNT RAINIER, MD",1
"MOUNT SHASTA, CA",3
"MOUNT TREMPER, NY",1
"MOUNT VERNON, IA",1
"MOUNT VERNON, IL",1
"MOUNT VERNON, KY",1
"MOUNT VERNON, MO",1
"MOUNT VERNON, WA",4
"MOUNTAIN HOME, ID",1
"MOUNTAIN HOUSE, CA",1
"MOUNTAIN VIEW, CA",42
"MOUNTAIN VILLAGE, CO",4
"MOUNTLAKE TERRACE, WA",1
"MOUNTVILLE, PA",1
"MT AIRY, MD",1
"MT AIRY, NC",1
"MT ARLINGTON, NJ",1
"MT CLEMENS, MI",2
"MT DESERT, ME",1
"MT EPHRAIM, NJ",1
"MT HOOD, OR",1
"MT JOY, PA",2
"MT LAUREL, NJ",1
"MT PLEASANT, MI",3
"MT SHASTA, CA",1
"MT STERLING, KY",1
"MT VERNON, IA",1
"MT VERNON, WA",1
"MT. AIRY, MD",3
"MT. AIRY, NC",1
"MT. GILEAD, OH",1
"MT. HOLLY, NC",1
"MT. HOOD, OR",1
"MT. HOPE, WV",1
"MT. HOREB, WI",1
"MT. JACKSON, VA",1
"MT. JULIET, TN",2
"MT. MORRIS, NY",2
"MT. PLEASANT, SC",1
"MT. PLEASANT, TX",1
"MT. SHASTA, CA",1
"MT. SINAI, NY",1
"MT. ST. FRANCIS, IN",1
"MT. VERNON, IL",2
"MT. VERNON, WA",3
"MUKILTEO, WA",3
"MUKWONAGO, WI",1
"MULLENS, WV",2
"MUNCY, PA",2
"MUNSTER, IN",1
"MURDO, SD",1
"MURFREESBORO, TN",17
"MURPHY, NC",2
"MURPHY, TX",1
"MURPHYS, CA",3
"MURRAY, KY",2
"MURRAY, UT",10
"MURRELLS INLET, SC",1
"MURRIETA, CA",14
"MURRYSVILLE, PA",1
"MUSCATINE, IA",2
"MUSKEGON, MI",7
"MUSKOGEE, OK",4
"MYERSTOWN, PA",1
"MYRTLE BEACH, FL",1
"MYRTLE BEACH, SC",17
"MYRTLE CREEK, OR",2
"MYSTIC, CT",3
"N AUGUSTA, SC",1
"NACOGDOCHES, TX",1
"NAGS HEAD, NC",1
"NAMPA, ID",5
"NANTUCKET, MA",7
"NANUET, NY",3
"NAPA VALLEY, CA",1
"NAPA, CA",55
"NAPERVILLE, IL",17
"NAPLES, FL",29
"NAPLES, ME",1
"NAPOLEON, OH",1
"NARRAGANSETT, RI",3
"NASHUA, MA",1
"NASHUA, NH",3
"NASHVILLE, IN",2
"NASHVILLE, NC",2
"NASHVILLE, TN",96
"NATCHEZ, MS",2
"NATCHITOCHES, LA",2
"NATHROP, CO",1
"NATICK, MA",13
"NATIONAL CITY, CA",6
"NAUBINWAY, MI",1
"NAVARRE, FL",2
"NAVASOTA, TX",2
"NAÃÂÂALEHUA, HI",1
"NEAH BAY, WA",2
"NEBRASKA CITY, NE",3
"NEDERLAND, CO",1
"NEEDHAM, MA",2
"NEEDLES, CA",2
"NEENAH, WI",3
"NEILLSVILLE, WI",1
"NEOSHO, MO",1
"NEPHI, UT",1
"NEPTUNE BEACH, FL",1
"NEPTUNE CITY, NJ",2
"NEPTUNE TOWNSHIP, NJ",1
"NEPTUNE, NJ",2
"NESCONSET, NY",1
"NEVADA, MO",1
"NEW ALBANY, IN",3
"NEW ALBANY, MS",2
"NEW ALBANY, OH",5
"NEW BEDFORD, MA",7
"NEW BERLIN, WI",1
"NEW BERN, NC",5
"NEW BOSTON, OH",1
"NEW BRAUNFELS, TX",5
"NEW BRIGHTON, MN",2
"NEW BRITAIN, CT",9
"NEW BRUNSWICK, NJ",2
"NEW BUFFALO, MI",1
"NEW CANAAN, CT",1
"NEW CARROLLTON, MD",2
"NEW CASTLE, CO",3
"NEW CASTLE, DE",4
"NEW CASTLE, IN",1
"NEW CASTLE, PA",1
"NEW CENTURY, KS",4
"NEW CITY, NY",1
"NEW CONCORD, OH",1
"NEW CUMBERLAND, PA",1
"NEW FAIRFIELD, CT",1
"NEW GLOUCESTER, ME",1
"NEW HAMPTON, NH",1
"NEW HAMPTON, NY",1
"NEW HARMONY, UT",1
"NEW HARTFORD, NY",1
"NEW HAVEN, CT",15
"NEW HAVEN, VT",1
"NEW HUDSON, MI",1
"NEW KENT, VA",2
"NEW LONDON, CT",2
"NEW LONDON, NH",1
"NEW LONDON, WI",1
"NEW MARKET, MD",1
"NEW MARKET, VA",1
"NEW MILFORD, CT",3
"NEW ORLEANS, LA",18
"NEW OXFORD, PA",2
"NEW PALTZ, NY",14
"NEW PLYMOUTH, OH",1
"NEW PORT RICHEY, FL",8
"NEW PRAGUE, MN",1
"NEW PROVIDENCE, NJ",2
"NEW RIVER, AZ",1
"NEW ROCHELLE, NY",5
"NEW SMYRNA BEACH, FL",2
"NEW SMYRNA, FL",1
"NEW ULM, MN",2
"NEW ULM, TX",1
"NEW YORK CITY, NY",1
"NEW YORK, NY",321
"NEWARK, CA",11
"NEWARK, DE",11
"NEWARK, NJ",10
"NEWARK, NY",3
"NEWARK, OH",4
"NEWAYGO, MI",1
"NEWBERG, OR",7
"NEWBURG, MD",1
"NEWBURGH, IN",2
"NEWBURGH, NY",4
"NEWBURY PARK, CA",2
"NEWBURYPORT, MA",4
"NEWCASTLE, ME",1
"NEWCASTLE, WA",1
"NEWCOMB, NY",1
"NEWFANE, VT",2
"NEWFOUNDLAND, PA",1
"NEWHALL, CA",1
"NEWINGTON, CT",3
"NEWNAN, GA",8
"NEWPORT BEACH, CA",46
"NEWPORT COAST, CA",2
"NEWPORT NEWS, VA",17
"NEWPORT, AR",1
"NEWPORT, KY",2
"NEWPORT, OR",6
"NEWPORT, RI",9
"NEWPORT, TN",1
"NEWPORT, VT",2
"NEWPORT, WA",1
"NEWRY, ME",1
"NEWTON, KS",1
"NEWTON, MA",9
"NEWTON, NC",1
"NEWTON, NJ",3
"NEWTOWN SQUARE, PA",2
"NEWTOWN, CT",1
"NEWVILLE, PA",1
"NIAGARA FALLS, NY",7
"NIAGARA UNIVERSITY, NY",1
"NIANTIC, CT",2
"NICASIO, CA",1
"NICEVILLE, FL",2
"NICHOLS, NY",1
"NILES, IL",4
"NILES, MI",3
"NISKAYUNA, NY",5
"NIWOT, CO",1
"NOBLESVILLE, IN",2
"NOHO, CA",1
"NOKESVILLE, VA",1
"NORCO, CA",2
"NORCROSS, GA",4
"NORFOLK, CT",1
"NORFOLK, MA",1
"NORFOLK, NE",1
"NORFOLK, VA",24
"NORMAL, IL",19
"NORMAN, OK",14
"NORRIDGE, IL",1
"NORRISTOWN, PA",2
"NORTH ADAMS, MA",1
"NORTH ANDOVER, MA",4
"NORTH ATTLEBORO, MA",2
"NORTH AURORA, IL",5
"NORTH BABYLON, NY",3
"NORTH BEACH, MD",1
"NORTH BEND, OR",4
"NORTH BEND, WA",3
"NORTH BETHESDA, MD",5
"NORTH BRANCH, MI",1
"NORTH BRANFORD, CT",1
"NORTH BRUNSWICK TOWNSHIP, NJ",1
"NORTH BRUNSWICK, NJ",1
"NORTH CANAAN, CT",1
"NORTH CANTON, OH",7
"NORTH CHARLESTON, SC",7
"NORTH CHELMSFORD, MA",1
"NORTH CHESTERFIELD, VA",1
"NORTH CONWAY, NH",4
"NORTH CREEK, NY",4
"NORTH EAST, MD",3
"NORTH EDWARDS, CA",1
"NORTH HAMPTON, NH",1
"NORTH HAVEN, CT",4
"NORTH HIGHLAND, CA",1
"NORTH HILLS, CA",3
"NORTH HILLS, NY",1
"NORTH HOLLYWOOD, CA",24
"NORTH HUNTINGDON, PA",1
"NORTH KANSAS CITY, MO",6
"NORTH KINGSTOWN, RI",2
"NORTH LAS VEGAS, NV",3
"NORTH LITTLE ROCK, AR",6
"NORTH LOGAN, UT",1
"NORTH MANKATO, MN",2
"NORTH MIAMI BEACH, FL",3
"NORTH MIAMI, FL",5
"NORTH MYRTLE BEACH, SC",2
"NORTH OLMSTED, OH",1
"NORTH PLAINFIELD, NJ",1
"NORTH PLAINS, OR",1
"NORTH PLATTE, NE",1
"NORTH PORT, FL",1
"NORTH PROVIDENCE, RI",1
"NORTH RICHLAND HILLS, TX",2
"NORTH SALT LAKE, UT",2
"NORTH SAN JOSE, CA",1
"NORTH SMITHFIELD, RI",1
"NORTH ST PAUL, MN",1
"NORTH STAMFORD, CT",1
"NORTH TONAWANDA, NY",1
"NORTH WALES, PA",1
"NORTH WILDWOOD, NJ",1
"NORTH WINDHAM, CT",1
"NORTHAMPTON, MA",13
"NORTHBOROUGH, MA",2
"NORTHBROOK, IL",12
"NORTHEAST HARBOR, ME",1
"NORTHFIELD, IL",2
"NORTHFIELD, MN",4
"NORTHGLENN, CO",1
"NORTHLAKE, TX",1
"NORTHPORT, MI",1
"NORTHPORT, NY",1
"NORTHRIDGE, CA",16
"NORTHVILLE, MI",2
"NORTHWOOD, IA",2
"NORTON SHORES, MI",1
"NORWALK, CA",4
"NORWALK, CT",10
"NORWAY, ME",3
"NORWAY, MI",1
"NORWELL, MA",4
"NORWICH, CT",6
"NORWICH, VT",3
"NORWOOD, MA",7
"NOTRE DAME, IN",1
"NOTTINGHAM, MD",4
"NOVATO, CA",21
"NOVI, MI",5
"NYACK, NY",1
"O FALLON, IL",1
"O FALLON, MO",1
"O'FALLON, IL",1
"O'FALLON, MO",1
"OACOMA, SD",1
"OAK BROOK, IL",14
"OAK CREEK, WI",5
"OAK GLEN, CA",1
"OAK GROVE, MO",1
"OAK HARBOR, OH",1
"OAK HARBOR, WA",3
"OAK LAWN, IL",3
"OAK PARK, CA",1
"OAK PARK, IL",8
"OAK RIDGE, TN",6
"OAK VIEW, CA",1
"OAKBROOK TERRACE, IL",2
"OAKDALE, CA",2
"OAKDALE, MN",3
"OAKDALE, PA",1
"OAKHURST, CA",6
"OAKHURST, NJ",1
"OAKLAND GARDENS, NY",1
"OAKLAND PARK, FL",1
"OAKLAND, CA",59
"OAKLAND, FL",3
"OAKLAND, MD",2
"OAKLAND, OR",1
"OAKLEY, CA",1
"OAKRIDGE, OR",1
"OAKVILLE, CA",5
"OAKWOOD, GA",1
"OBERLIN, OH",2
"OCALA, FL",6
"OCCIDENTAL, CA",1
"OCEAN CITY, MD",12
"OCEAN CITY, NJ",2
"OCEAN ISLE BEACH, NC",1
"OCEAN SHORES, WA",1
"OCEANSIDE, CA",8
"OCEANSIDE, OR",1
"OCHOPEE, FL",3
"OCOEE, FL",1
"OCONOMOWOC, WI",1
"OCONTO, WI",1
"ODENTON, MD",3
"OGALLALA, NE",4
"OGDEN, UT",19
"OGDENSBURG, NY",1
"OGUNQUIT, ME",4
"OIL CITY, PA",1
"OJAI, CA",5
"OKATIE, SC",1
"OKEECHOBEE, FL",5
"OKEMOS, MI",5
"OKLAHOMA CITY, OK",34
"OLANCHA, CA",1
"OLATHE, KS",24
"OLD FAITHFUL, WY",1
"OLD FORGE, NY",2
"OLD FORT, NC",1
"OLD LYME, CT",1
"OLD ORCHARD BEACH, ME",1
"OLD SAYBROOK, CT",6
"OLD WESTBURY, NY",1
"OLDSMAR, FL",5
"OLEAN, NY",4
"OLGA, WA",1
"OLIVE HILL, KY",1
"OLIVIA, MN",1
"OLNEY, MD",1
"OLYMPIA, WA",26
"OLYMPIC VALLEY, CA",2
"OMAHA, NE",29
"OMAK, WA",1
"ONALASKA, WI",2
"ONANCOCK, VA",1
"ONAWAY, MI",1
"ONEONTA, NY",5
"ONTARIO, CA",30
"ONTARIO, OR",1
"OOLTEWAH, TN",4
"OPELOUSAS, LA",1
"ORADELL, NJ",1
"ORANGE BEACH, AL",4
"ORANGE COVE, CA",2
"ORANGE PARK, FL",1
"ORANGE, CA",34
"ORANGE, CT",4
"ORANGE, MA",1
"ORANGEBURG, SC",1
"ORCAS, WA",1
"ORCHARD PARK, NY",6
"ORD, NE",1
"OREGON CITY, OR",7
"OREGON, IL",1
"OREM, UT",20
"ORIENTAL, NC",2
"ORKNEY SPRINGS, VA",1
"ORLAND PARK, IL",8
"ORLAND, CA",1
"ORLANDO, FL",171
"ORLEANS, MA",3
"ORMOND BEACH, FL",5
"ORO VALLEY, AZ",2
"ORONO, ME",1
"OROVADA, NV",1
"OROVILLE, CA",4
"OROVILLE, WA",2
"ORRTANNA, PA",1
"OSAGE BEACH, MO",2
"OSHKOSH, WI",7
"OSKALOOSA, IA",1
"OSSINING, NY",6
"OSWEGO, IL",1
"OSWEGO, NY",2
"OTIS, OR",2
"OURAY, CO",1
"OVERLAND PARK, KS",59
"OVID, CO",1
"OVIEDO, FL",11
"OWASSO, OK",3
"OWATONNA, MN",5
"OWIGSBURG, PA",1
"OWINGS MILLS, MD",4
"OXFORD, AL",3
"OXFORD, CT",1
"OXFORD, FL",1
"OXFORD, GA",1
"OXFORD, MA",1
"OXFORD, MD",1
"OXFORD, MS",4
"OXFORD, OH",2
"OXFORD, PA",4
"OXNARD, CA",29
"OXON HILL, MD",4
"OYSTER BAY, NY",1
"OZARK, AR",1
"OZARK, MO",2
"OZONA, TX",2
"OZONE PARK, NY",1
"PACHECO, CA",1
"PACIFIC CITY, OR",1
"PACIFIC GROVE, CA",3
"PACIFIC PALISADES, CA",6
"PACIFICA, CA",4
"PACOIMA, CA",6
"PADUCAH, KY",3
"PAGE, AZ",2
"PAGELAND, SC",1
"PAGOSA SPRINGS, CO",1
"PAHOA, HI",1
"PAINTED POST, NY",3
"PALA, CA",1
"PALATINE, IL",6
"PALATKA, FL",1
"PALERMO, CA",1
"PALESTINE, TX",1
"PALISADE, CO",1
"PALISADES PARK, NJ",1
"PALM BAY, FL",2
"PALM BEACH GARDENS, FL",9
"PALM BEACH, FL",2
"PALM CITY, FL",1
"PALM COAST, FL",4
"PALM DESERT, CA",29
"PALM HARBOR, FL",6
"PALM SPRINGS, CA",40
"PALMDALE, CA",19
"PALMER, AK",1
"PALMER, MA",2
"PALMETTO BAY, FL",2
"PALMETTO, FL",1
"PALMETTO, GA",1
"PALMYRA, PA",3
"PALMYRA, VA",1
"PALO ALTO, CA",72
"PALOS VERDES PENINSULA, CA",1
"PANACA, NV",1
"PANAMA CITY BEACH, FL",6
"PANAMA CITY, FL",5
"PANORAMA CITY, CA",4
"PANTON, VT",1
"PAOLI, OK",1
"PAONIA, CO",3
"PAPA'ALOA, HI",1
"PARACHUTE, CO",1
"PARADISE VALLEY, AZ",2
"PARADISE, NV",1
"PARADISE, PA",1
"PARAMOUNT, CA",2
"PARAMUS, NJ",10
"PARIS, TN",2
"PARK CITY, UT",15
"PARK FOREST, IL",1
"PARK RIDGE, IL",2
"PARK RIDGE, NJ",3
"PARKER, AZ",1
"PARKER, CO",2
"PARKERSBURG, WV",3
"PARKVILLE, MD",1
"PARLIER, CA",2
"PARMA HEIGHTS, OH",1
"PARMA, OH",1
"PARSIPPANY, NJ",2
"PARSIPPANY-TROY HILLS, NJ",4
"PASADENA, CA",52
"PASADENA, MD",2
"PASADENA, TX",3
"PASCAGOULA, MS",1
"PASCO, WA",4
"PASO ROBLES, CA",47
"PATASKALA, OH",2
"PATCHOGUE, NY",2
"PATEROS, WA",1
"PATTERSON, CA",4
"PATTON, PA",1
"PATUXENT RIVER, MD",2
"PAUL SMITHS, NY",3
"PAULS VALLEY, OK",1
"PAULSBORO, NJ",1
