Model	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
Volkswagen Passat	1,943	2,515	1,523	742	1,648	1,730	2,135	1,898	2,056	2,285	1,877	2,612
Volkswagen Tiguan	7,203	9,325	5,648	4,557	10,127	10,634	9,842	8,749	9,478	8,476	6,962	9,686
Volkswagen Touareg	1	1	1	-	-	-	-	-	-	-	-	-
Volvo 40 Series	-	-	1,099	-	-	-	-	-	-	-	-	-
Volvo 60-Series	1,021	1,385	-	506	1,241	1,486	1,546	1,790	2,341	1,213	1,736	1,464
Volvo 90-Series	102	136	116	91	178	263	332	676	718	146	239	198
Volvo XC40	1,303	1,615	1,052	930	2,305	2,315	2,216	1,933	1,911	2,504	2,344	3,350
Volvo XC60	1,737	2,276	1,556	1,053	2,723	2,867	2,637	2,981	2,632	3,571	3,756	4,289
Volvo XC90	1,994	2,429	1,664	1,286	3,072	3,454	2,966	2,998	2,672	3,257	3,516	4,943
												
	∑ = 1,157,415	∑ = 1,434,716	∑ = 912,800	∑ = 563,122	∑ = 1,181,756	∑ = 1,214,706	∑ = 1,336,267	∑ = 1,298,489	∑ = 1,370,243	∑ = 1,333,792	∑ = 1,146,235	∑ = 1,523,736
